onset	duration	event_type	recipient	selfpay	recipientpay	button
0.01	0	Fixation	Accountant	20	5	L
3.01	3.56	Recipient	Accountant	20	5	L
6.57	0	Payoff	Accountant	20	5	L
12.57	0	Choice	Accountant	20	5	L
15.59	0	Fixation	PrisonInmate	5	20	R
17.60	3.56	Recipient	PrisonInmate	5	20	R
21.16	0	Payoff	PrisonInmate	5	20	R
27.80	0	Choice	PrisonInmate	5	20	R
30.82	0	Fixation	Irish	6	14	R
34.83	3.56	Recipient	Irish	6	14	R
38.39	0	Payoff	Irish	6	14	R
43.99	0	Choice	Irish	6	14	R
47.01	0	Fixation	Surgeon	15	15	R
50.02	3.57	Recipient	Surgeon	15	15	R
53.58	0	Payoff	Surgeon	15	15	R
59.57	0	Choice	Surgeon	15	15	R
62.59	0	Fixation	Surgeon	9	15	R
65.60	3.56	Recipient	Surgeon	9	15	R
69.16	0	Payoff	Surgeon	9	15	R
74.84	0	Choice	Surgeon	9	15	R
77.86	0	Fixation	Jewish	20	5	R
80.87	3.57	Recipient	Jewish	20	5	R
84.43	0	Payoff	Jewish	20	5	R
90.17	0	Choice	Jewish	20	5	R
93.19	0	Fixation	Stay-at-homeparent	6	14	R
96.20	3.57	Recipient	Stay-at-homeparent	6	14	R
99.77	0	Payoff	Stay-at-homeparent	6	14	R
105.79	0	Choice	Stay-at-homeparent	6	14	R
108.81	0	Fixation	British	14	6	R
111.82	3.57	Recipient	British	14	6	R
115.39	0	Payoff	British	14	6	R
121.04	0	Choice	British	14	6	R
124.07	0	Fixation	Irish	5	20	R
134.07	3.56	Recipient	Irish	5	20	R
137.63	0	Payoff	Irish	5	20	R
143.12	0	Choice	Irish	5	20	R
146.14	0	Fixation	Japanese	9	15	R
150.15	3.57	Recipient	Japanese	9	15	R
153.71	0	Payoff	Japanese	9	15	R
159.12	0	Choice	Japanese	9	15	R
162.13	0	Fixation	Irish	15	9	R
165.13	3.56	Recipient	Irish	15	9	R
168.70	0	Payoff	Irish	15	9	R
174.71	0	Choice	Irish	15	9	R
177.72	0	Fixation	Japanese	5	20	R
179.72	3.56	Recipient	Japanese	5	20	R
183.29	0	Payoff	Japanese	5	20	R
188.85	0	Choice	Japanese	5	20	R
191.86	0	Fixation	Mentaldisability	9	15	L
193.87	3.57	Recipient	Mentaldisability	9	15	L
197.43	0	Payoff	Mentaldisability	9	15	L
204.42	0	Choice	Mentaldisability	9	15	L
207.43	0	Fixation	British	6	14	R
209.44	3.56	Recipient	British	6	14	R
213.00	0	Payoff	British	6	14	R
218.52	0	Choice	British	6	14	R
221.53	0	Fixation	Lawyer	20	5	R
225.53	3.56	Recipient	Lawyer	20	5	R
229.09	0	Payoff	Lawyer	20	5	R
234.60	0	Choice	Lawyer	20	5	R
237.61	0	Fixation	Homeless	20	5	R
240.62	3.56	Recipient	Homeless	20	5	R
244.18	0	Payoff	Homeless	20	5	R
250.09	0	Choice	Homeless	20	5	R
253.10	0	Fixation	Drugaddiction	20	5	L
256.11	3.56	Recipient	Drugaddiction	20	5	L
259.67	0	Payoff	Drugaddiction	20	5	L
266.83	0	Choice	Drugaddiction	20	5	L
269.84	0	Fixation	Farmer	5	5	R
280.84	3.56	Recipient	Farmer	5	5	R
284.41	0	Payoff	Farmer	5	5	R
289.93	0	Choice	Farmer	5	5	R
292.94	0	Fixation	Stay-at-homeparent	15	9	R
295.94	3.56	Recipient	Stay-at-homeparent	15	9	R
299.51	0	Payoff	Stay-at-homeparent	15	9	R
305.07	0	Choice	Stay-at-homeparent	15	9	R
308.08	0	Fixation	Spanish	5	5	R
311.08	3.56	Recipient	Spanish	5	5	R
314.64	0	Payoff	Spanish	5	5	R
320.50	0	Choice	Spanish	5	5	R
323.51	0	Fixation	Japanese	15	15	R
328.51	3.56	Recipient	Japanese	15	15	R
332.08	0	Payoff	Japanese	15	15	R
339.13	0	Choice	Japanese	15	15	R
342.14	0	Fixation	Olympicathlete	15	15	R
346.15	3.56	Recipient	Olympicathlete	15	15	R
349.71	0	Payoff	Olympicathlete	15	15	R
355.39	0	Choice	Olympicathlete	15	15	R
358.40	0	Fixation	Jewish	15	9	R
370.41	3.56	Recipient	Jewish	15	9	R
373.97	0	Payoff	Jewish	15	9	R
379.50	0	Choice	Jewish	15	9	R
382.51	0	Fixation	Farmer	14	6	R
385.51	3.56	Recipient	Farmer	14	6	R
389.08	0	Payoff	Farmer	14	6	R
395.11	0	Choice	Farmer	14	6	R
398.12	0	Fixation	Elderly	5	5	R
402.12	3.56	Recipient	Elderly	5	5	R
405.69	0	Payoff	Elderly	5	5	R
411.00	0	Choice	Elderly	5	5	R
414.01	0	Fixation	Welfarerecipient	5	5	R
416.01	3.56	Recipient	Welfarerecipient	5	5	R
419.58	0	Payoff	Welfarerecipient	5	5	R
425.55	0	Choice	Welfarerecipient	5	5	R
428.56	0	Fixation	Accountant	15	9	R
432.56	3.56	Recipient	Accountant	15	9	R
436.12	0	Payoff	Accountant	15	9	R
443.56	0	Choice	Accountant	15	9	R
446.57	0	Fixation	Welfarerecipient	6	14	L
449.58	3.56	Recipient	Welfarerecipient	6	14	L
453.14	0	Payoff	Welfarerecipient	6	14	L
460.29	0	Choice	Welfarerecipient	6	14	L
463.30	0	Fixation	Japanese	20	5	R
471.31	3.56	Recipient	Japanese	20	5	R
474.87	0	Payoff	Japanese	20	5	R
480.65	0	Choice	Japanese	20	5	R
483.66	0	Fixation	Stay-at-homeparent	14	6	R
489.67	3.56	Recipient	Stay-at-homeparent	14	6	R
493.23	0	Payoff	Stay-at-homeparent	14	6	R
498.76	0	Choice	Stay-at-homeparent	14	6	R
501.77	0	Fixation	Welfarerecipient	15	9	R
505.77	3.56	Recipient	Welfarerecipient	15	9	R
509.34	0	Payoff	Welfarerecipient	15	9	R
514.89	0	Choice	Welfarerecipient	15	9	R
517.90	0	Fixation	Arab	5	20	R
519.91	3.56	Recipient	Arab	5	20	R
523.47	0	Payoff	Arab	5	20	R
529.21	0	Choice	Arab	5	20	R
532.22	0	Fixation	PrisonInmate	14	6	R
538.22	3.56	Recipient	PrisonInmate	14	6	R
541.79	0	Payoff	PrisonInmate	14	6	R
547.62	0	Choice	PrisonInmate	14	6	R
550.63	0	Fixation	Mentaldisability	5	20	L
557.63	3.56	Recipient	Mentaldisability	5	20	L
561.20	0	Payoff	Mentaldisability	5	20	L
567.08	0	Choice	Mentaldisability	5	20	L
570.09	0	Fixation	Greek	5	5	R
573.10	3.56	Recipient	Greek	5	5	R
576.66	0	Payoff	Greek	5	5	R
582.17	0	Choice	Greek	5	5	R
585.18	0	Fixation	Spanish	15	15	R
588.19	3.56	Recipient	Spanish	15	15	R
591.75	0	Payoff	Spanish	15	15	R
599.90	0	Choice	Spanish	15	15	R
602.91	0	Fixation	Surgeon	15	9	R
606.91	3.56	Recipient	Surgeon	15	9	R
610.48	0	Payoff	Surgeon	15	9	R
616.91	0	Choice	Surgeon	15	9	R
619.92	0	Fixation	Lawyer	5	20	R
622.92	3.56	Recipient	Lawyer	5	20	R
626.49	0	Payoff	Lawyer	5	20	R
632.34	0	Choice	Lawyer	5	20	R
635.35	0	Fixation	Nurse	15	9	R
645.36	3.56	Recipient	Nurse	15	9	R
648.92	0	Payoff	Nurse	15	9	R
654.71	0	Choice	Nurse	15	9	R
657.72	0	Fixation	Jewish	14	6	R
661.72	3.56	Recipient	Jewish	14	6	R
665.29	0	Payoff	Jewish	14	6	R
674.49	0	Choice	Jewish	14	6	R
677.50	0	Fixation	Surgeon	14	6	R
680.50	3.56	Recipient	Surgeon	14	6	R
684.07	0	Payoff	Surgeon	14	6	R
690.38	0	Choice	Surgeon	14	6	R
693.39	0	Fixation	Lawyer	6	14	R
695.39	3.56	Recipient	Lawyer	6	14	R
698.96	0	Payoff	Lawyer	6	14	R
704.47	0	Choice	Lawyer	6	14	R
707.48	0	Fixation	Elderly	6	14	L
710.49	3.56	Recipient	Elderly	6	14	L
714.05	0	Payoff	Elderly	6	14	L
719.85	0	Choice	Elderly	6	14	L
722.86	0	Fixation	Elderly	5	20	L
732.86	3.56	Recipient	Elderly	5	20	L
736.43	0	Payoff	Elderly	5	20	L
742.03	0	Choice	Elderly	5	20	L
745.04	0	Fixation	Mentaldisability	14	6	R
747.04	3.56	Recipient	Mentaldisability	14	6	R
750.61	0	Payoff	Mentaldisability	14	6	R
755.94	0	Choice	Mentaldisability	14	6	R
758.96	0	Fixation	Spanish	14	6	R
768.96	3.57	Recipient	Spanish	14	6	R
772.52	0	Payoff	Spanish	14	6	R
778.20	0	Choice	Spanish	14	6	R
781.21	0	Fixation	Farmer	20	5	R
785.21	3.56	Recipient	Farmer	20	5	R
788.77	0	Payoff	Farmer	20	5	R
794.12	0	Choice	Farmer	20	5	R
797.13	0	Fixation	Arab	15	15	R
799.13	3.56	Recipient	Arab	15	15	R
802.69	0	Payoff	Arab	15	15	R
810.33	0	Choice	Arab	15	15	R
813.34	0	Fixation	Accountant	6	14	R
825.34	3.56	Recipient	Accountant	6	14	R
828.90	0	Payoff	Accountant	6	14	R
836.20	0	Choice	Accountant	6	14	R
839.21	0	Fixation	Homeless	6	14	L
843.22	3.56	Recipient	Homeless	6	14	L
846.78	0	Payoff	Homeless	6	14	L
852.40	0	Choice	Homeless	6	14	L
855.41	0	Fixation	Stay-at-homeparent	9	15	R
858.42	3.56	Recipient	Stay-at-homeparent	9	15	R
861.98	0	Payoff	Stay-at-homeparent	9	15	R
867.71	0	Choice	Stay-at-homeparent	9	15	R
870.73	0	Fixation	Olympicathlete	14	6	R
873.73	3.57	Recipient	Olympicathlete	14	6	R
877.30	0	Payoff	Olympicathlete	14	6	R
884.09	0	Choice	Olympicathlete	14	6	R
887.10	0	Fixation	Arab	15	9	R
891.10	3.56	Recipient	Arab	15	9	R
894.66	0	Payoff	Arab	15	9	R
900.31	0	Choice	Arab	15	9	R
903.33	0	Fixation	PrisonInmate	20	5	R
907.33	3.56	Recipient	PrisonInmate	20	5	R
910.89	0	Payoff	PrisonInmate	20	5	R
916.27	0	Choice	PrisonInmate	20	5	R
919.29	0	Fixation	Greek	15	9	R
921.29	3.56	Recipient	Greek	15	9	R
924.85	0	Payoff	Greek	15	9	R
