onset	duration	event_type	recipient	selfpay	recipientpay	button
0.01	0	Fixation	Stay-at-homeparent	14	6	L
3.01	2.87	Recipient	Stay-at-homeparent	14	6	L
5.88	0	Payoff	Stay-at-homeparent	14	6	L
12.80	0	Choice	Stay-at-homeparent	14	6	L
15.81	0	Fixation	Spanish	9	15	R
18.82	2.87	Recipient	Spanish	9	15	R
21.69	0	Payoff	Spanish	9	15	R
26.57	0	Choice	Spanish	9	15	R
29.58	0	Fixation	Lawyer	20	5	R
32.58	2.87	Recipient	Lawyer	20	5	R
35.46	0	Payoff	Lawyer	20	5	R
40.05	0	Choice	Lawyer	20	5	R
43.06	0	Fixation	Drugaddiction	6	14	R
46.06	2.87	Recipient	Drugaddiction	6	14	R
48.94	0	Payoff	Drugaddiction	6	14	R
55.97	0	Choice	Drugaddiction	6	14	R
58.98	0	Fixation	Elderly	20	5	R
62.99	2.87	Recipient	Elderly	20	5	R
65.86	0	Payoff	Elderly	20	5	R
70.80	0	Choice	Elderly	20	5	R
73.81	0	Fixation	Spanish	15	9	R
75.81	2.87	Recipient	Spanish	15	9	R
78.68	0	Payoff	Spanish	15	9	R
83.09	0	Choice	Spanish	15	9	R
86.10	0	Fixation	Welfarerecipient	15	15	L
89.10	2.87	Recipient	Welfarerecipient	15	15	L
91.97	0	Payoff	Welfarerecipient	15	15	L
97.86	0	Choice	Welfarerecipient	15	15	L
100.87	0	Fixation	Elderly	9	15	R
103.87	2.87	Recipient	Elderly	9	15	R
106.74	0	Payoff	Elderly	9	15	R
111.30	0	Choice	Elderly	9	15	R
114.31	0	Fixation	Mentaldisability	14	6	R
118.32	2.87	Recipient	Mentaldisability	14	6	R
121.19	0	Payoff	Mentaldisability	14	6	R
126.05	0	Choice	Mentaldisability	14	6	R
129.06	0	Fixation	Spanish	14	6	R
133.07	2.87	Recipient	Spanish	14	6	R
135.94	0	Payoff	Spanish	14	6	R
140.34	0	Choice	Spanish	14	6	R
143.35	0	Fixation	Arab	5	5	R
145.35	2.87	Recipient	Arab	5	5	R
148.22	0	Payoff	Arab	5	5	R
153.39	0	Choice	Arab	5	5	R
156.40	0	Fixation	Stay-at-homeparent	15	15	L
159.40	2.87	Recipient	Stay-at-homeparent	15	15	L
162.28	0	Payoff	Stay-at-homeparent	15	15	L
166.92	0	Choice	Stay-at-homeparent	15	15	L
169.93	0	Fixation	Nurse	5	20	L
175.93	2.87	Recipient	Nurse	5	20	L
178.81	0	Payoff	Nurse	5	20	L
183.14	0	Choice	Nurse	5	20	L
186.15	0	Fixation	Drugaddiction	9	15	R
189.15	2.87	Recipient	Drugaddiction	9	15	R
192.02	0	Payoff	Drugaddiction	9	15	R
196.75	0	Choice	Drugaddiction	9	15	R
199.76	0	Fixation	Accountant	9	15	L
207.76	2.87	Recipient	Accountant	9	15	L
210.63	0	Payoff	Accountant	9	15	L
215.81	0	Choice	Accountant	9	15	L
218.82	0	Fixation	PrisonInmate	9	15	R
222.82	2.87	Recipient	PrisonInmate	9	15	R
225.69	0	Payoff	PrisonInmate	9	15	R
230.13	0	Choice	PrisonInmate	9	15	R
233.14	0	Fixation	Lawyer	5	20	R
237.15	2.87	Recipient	Lawyer	5	20	R
240.02	0	Payoff	Lawyer	5	20	R
246.22	0	Choice	Lawyer	5	20	R
249.23	0	Fixation	Irish	20	5	R
253.23	2.87	Recipient	Irish	20	5	R
256.10	0	Payoff	Irish	20	5	R
260.51	0	Choice	Irish	20	5	R
263.52	0	Fixation	Surgeon	5	20	L
268.52	2.87	Recipient	Surgeon	5	20	L
271.39	0	Payoff	Surgeon	5	20	L
275.79	0	Choice	Surgeon	5	20	L
278.80	0	Fixation	Lawyer	15	15	L
281.81	2.87	Recipient	Lawyer	15	15	L
284.68	0	Payoff	Lawyer	15	15	L
289.40	0	Choice	Lawyer	15	15	L
292.41	0	Fixation	Welfarerecipient	6	14	R
295.41	2.87	Recipient	Welfarerecipient	6	14	R
298.28	0	Payoff	Welfarerecipient	6	14	R
303.05	0	Choice	Welfarerecipient	6	14	R
306.07	0	Fixation	Olympicathlete	5	5	R
318.07	2.87	Recipient	Olympicathlete	5	5	R
320.94	0	Payoff	Olympicathlete	5	5	R
325.90	0	Choice	Olympicathlete	5	5	R
328.91	0	Fixation	Farmer	6	14	R
331.91	2.87	Recipient	Farmer	6	14	R
334.78	0	Payoff	Farmer	6	14	R
339.78	0	Choice	Farmer	6	14	R
342.79	0	Fixation	Farmer	20	5	R
345.80	2.87	Recipient	Farmer	20	5	R
348.67	0	Payoff	Farmer	20	5	R
