onset	duration	event_type	recipient	selfpay	recipientpay	button
0.01	0	Fixation	Irish	15	15	R
3.01	3.74	Recipient	Irish	15	15	R
6.75	0	Payoff	Irish	15	15	R
11.73	0	Choice	Irish	15	15	R
14.74	0	Fixation	Nurse	15	9	R
18.75	3.74	Recipient	Nurse	15	9	R
22.48	0	Payoff	Nurse	15	9	R
27.46	0	Choice	Nurse	15	9	R
30.47	0	Fixation	Spanish	14	6	R
33.47	3.74	Recipient	Spanish	14	6	R
37.21	0	Payoff	Spanish	14	6	R
42.14	0	Choice	Spanish	14	6	R
45.15	0	Fixation	Greek	9	15	L
47.16	3.74	Recipient	Greek	9	15	L
50.89	0	Payoff	Greek	9	15	L
57.24	0	Choice	Greek	9	15	L
60.25	0	Fixation	Accountant	5	20	R
67.26	3.74	Recipient	Accountant	5	20	R
71.00	0	Payoff	Accountant	5	20	R
75.96	0	Choice	Accountant	5	20	R
78.97	0	Fixation	Jewish	5	5	R
81.98	3.74	Recipient	Jewish	5	5	R
85.71	0	Payoff	Jewish	5	5	R
90.98	0	Choice	Jewish	5	5	R
93.99	0	Fixation	Drugaddiction	15	9	L
96.99	3.74	Recipient	Drugaddiction	15	9	L
100.73	0	Payoff	Drugaddiction	15	9	L
105.86	0	Choice	Drugaddiction	15	9	L
108.88	0	Fixation	Lawyer	15	15	L
112.88	3.74	Recipient	Lawyer	15	15	L
116.62	0	Payoff	Lawyer	15	15	L
121.65	0	Choice	Lawyer	15	15	L
124.66	0	Fixation	PrisonInmate	5	5	R
127.67	3.74	Recipient	PrisonInmate	5	5	R
131.40	0	Payoff	PrisonInmate	5	5	R
136.63	0	Choice	PrisonInmate	5	5	R
139.64	0	Fixation	Lawyer	5	20	R
141.64	3.74	Recipient	Lawyer	5	20	R
145.38	0	Payoff	Lawyer	5	20	R
150.48	0	Choice	Lawyer	5	20	R
153.49	0	Fixation	Japanese	5	20	R
155.49	3.74	Recipient	Japanese	5	20	R
159.23	0	Payoff	Japanese	5	20	R
164.32	0	Choice	Japanese	5	20	R
167.34	0	Fixation	Stay-at-homeparent	14	6	L
176.34	3.74	Recipient	Stay-at-homeparent	14	6	L
180.08	0	Payoff	Stay-at-homeparent	14	6	L
185.19	0	Choice	Stay-at-homeparent	14	6	L
188.20	0	Fixation	Surgeon	15	9	L
192.21	3.74	Recipient	Surgeon	15	9	L
195.95	0	Payoff	Surgeon	15	9	L
201.01	0	Choice	Surgeon	15	9	L
204.02	0	Fixation	Surgeon	5	5	R
207.02	3.74	Recipient	Surgeon	5	5	R
210.76	0	Payoff	Surgeon	5	5	R
215.76	0	Choice	Surgeon	5	5	R
218.77	0	Fixation	Drugaddiction	5	20	R
221.78	3.74	Recipient	Drugaddiction	5	20	R
225.51	0	Payoff	Drugaddiction	5	20	R
230.62	0	Choice	Drugaddiction	5	20	R
233.64	0	Fixation	Welfarerecipient	15	15	L
242.64	3.74	Recipient	Welfarerecipient	15	15	L
246.38	0	Payoff	Welfarerecipient	15	15	L
251.38	0	Choice	Welfarerecipient	15	15	L
254.39	0	Fixation	Homeless	20	5	R
257.40	3.74	Recipient	Homeless	20	5	R
261.13	0	Payoff	Homeless	20	5	R
266.10	0	Choice	Homeless	20	5	R
269.11	0	Fixation	Lawyer	15	9	L
279.11	3.74	Recipient	Lawyer	15	9	L
282.85	0	Payoff	Lawyer	15	9	L
287.89	0	Choice	Lawyer	15	9	L
290.90	0	Fixation	Welfarerecipient	9	15	L
295.90	3.74	Recipient	Welfarerecipient	9	15	L
299.64	0	Payoff	Welfarerecipient	9	15	L
304.60	0	Choice	Welfarerecipient	9	15	L
307.61	0	Fixation	Lawyer	6	14	R
310.62	3.74	Recipient	Lawyer	6	14	R
314.36	0	Payoff	Lawyer	6	14	R
319.44	0	Choice	Lawyer	6	14	R
322.45	0	Fixation	Drugaddiction	15	15	L
334.46	3.74	Recipient	Drugaddiction	15	15	L
338.20	0	Payoff	Drugaddiction	15	15	L
343.29	0	Choice	Drugaddiction	15	15	L
346.30	0	Fixation	PrisonInmate	9	15	L
348.30	3.74	Recipient	PrisonInmate	9	15	L
352.04	0	Payoff	PrisonInmate	9	15	L
358.38	0	Choice	PrisonInmate	9	15	L
361.40	0	Fixation	Mentaldisability	15	15	L
365.40	3.74	Recipient	Mentaldisability	15	15	L
369.14	0	Payoff	Mentaldisability	15	15	L
374.19	0	Choice	Mentaldisability	15	15	L
377.21	0	Fixation	Japanese	9	15	R
381.21	3.74	Recipient	Japanese	9	15	R
384.95	0	Payoff	Japanese	9	15	R
391.49	0	Choice	Japanese	9	15	R
394.50	0	Fixation	Jewish	5	20	L
403.50	3.74	Recipient	Jewish	5	20	L
407.24	0	Payoff	Jewish	5	20	L
412.38	0	Choice	Jewish	5	20	L
415.40	0	Fixation	Mentaldisability	20	5	R
418.40	3.74	Recipient	Mentaldisability	20	5	R
422.14	0	Payoff	Mentaldisability	20	5	R
427.11	0	Choice	Mentaldisability	20	5	R
430.12	0	Fixation	Homeless	15	9	L
434.12	3.74	Recipient	Homeless	15	9	L
437.86	0	Payoff	Homeless	15	9	L
445.28	0	Choice	Homeless	15	9	L
448.29	0	Fixation	Nurse	9	15	L
451.29	3.74	Recipient	Nurse	9	15	L
455.03	0	Payoff	Nurse	9	15	L
459.99	0	Choice	Nurse	9	15	L
463.00	0	Fixation	Homeless	14	6	R
466.00	3.74	Recipient	Homeless	14	6	R
469.74	0	Payoff	Homeless	14	6	R
474.77	0	Choice	Homeless	14	6	R
477.78	0	Fixation	Arab	15	9	L
479.79	3.74	Recipient	Arab	15	9	L
483.52	0	Payoff	Arab	15	9	L
488.62	0	Choice	Arab	15	9	L
491.63	0	Fixation	British	15	9	L
493.63	3.74	Recipient	British	15	9	L
497.37	0	Payoff	British	15	9	L
502.49	0	Choice	British	15	9	L
505.50	0	Fixation	Surgeon	15	15	L
509.50	3.74	Recipient	Surgeon	15	15	L
513.24	0	Payoff	Surgeon	15	15	L
518.34	0	Choice	Surgeon	15	15	L
521.35	0	Fixation	Elderly	20	5	R
524.35	3.74	Recipient	Elderly	20	5	R
528.09	0	Payoff	Elderly	20	5	R
533.11	0	Choice	Elderly	20	5	R
536.12	0	Fixation	Accountant	20	5	L
538.12	3.74	Recipient	Accountant	20	5	L
