onset	duration	event_type	recipient	selfpay	recipientpay	button
0.01	0	Fixation	Stay-at-homeparent	15	9	R
8.01	4.09	Recipient	Stay-at-homeparent	15	9	R
12.10	0	Payoff	Stay-at-homeparent	15	9	R
18.39	0	Choice	Stay-at-homeparent	15	9	R
21.41	0	Fixation	Spanish	20	5	R
26.42	4.09	Recipient	Spanish	20	5	R
30.50	0	Payoff	Spanish	20	5	R
36.10	0	Choice	Spanish	20	5	R
39.12	0	Fixation	Accountant	6	14	R
42.13	4.08	Recipient	Accountant	6	14	R
46.21	0	Payoff	Accountant	6	14	R
51.33	0	Choice	Accountant	6	14	R
54.36	0	Fixation	Drugaddiction	5	5	R
57.36	4.09	Recipient	Drugaddiction	5	5	R
61.45	0	Payoff	Drugaddiction	5	5	R
67.14	0	Choice	Drugaddiction	5	5	R
70.17	0	Fixation	Japanese	15	15	L
73.18	4.08	Recipient	Japanese	15	15	L
77.26	0	Payoff	Japanese	15	15	L
82.26	0	Choice	Japanese	15	15	L
85.29	0	Fixation	Welfarerecipient	9	15	L
93.30	4.08	Recipient	Welfarerecipient	9	15	L
97.38	0	Payoff	Welfarerecipient	9	15	L
102.38	0	Choice	Welfarerecipient	9	15	L
105.40	0	Fixation	Jewish	20	5	R
115.41	4.08	Recipient	Jewish	20	5	R
119.49	0	Payoff	Jewish	20	5	R
124.61	0	Choice	Jewish	20	5	R
127.63	0	Fixation	Greek	5	20	R
130.64	4.08	Recipient	Greek	5	20	R
134.72	0	Payoff	Greek	5	20	R
140.40	0	Choice	Greek	5	20	R
143.43	0	Fixation	British	9	15	L
146.43	4.08	Recipient	British	9	15	L
150.52	0	Payoff	British	9	15	L
155.86	0	Choice	British	9	15	L
158.88	0	Fixation	Surgeon	5	20	R
161.89	4.08	Recipient	Surgeon	5	20	R
165.97	0	Payoff	Surgeon	5	20	R
170.92	0	Choice	Surgeon	5	20	R
173.93	0	Fixation	Mentaldisability	5	5	R
176.93	4.08	Recipient	Mentaldisability	5	5	R
181.02	0	Payoff	Mentaldisability	5	5	R
186.11	0	Choice	Mentaldisability	5	5	R
189.12	0	Fixation	Japanese	20	5	R
192.12	4.08	Recipient	Japanese	20	5	R
196.20	0	Payoff	Japanese	20	5	R
201.25	0	Choice	Japanese	20	5	R
204.26	0	Fixation	Irish	15	15	L
212.27	4.08	Recipient	Irish	15	15	L
216.35	0	Payoff	Irish	15	15	L
221.58	0	Choice	Irish	15	15	L
224.59	0	Fixation	Homeless	5	5	R
228.60	4.08	Recipient	Homeless	5	5	R
232.68	0	Payoff	Homeless	5	5	R
238.44	0	Choice	Homeless	5	5	R
241.45	0	Fixation	Nurse	9	15	L
243.45	4.08	Recipient	Nurse	9	15	L
247.54	0	Payoff	Nurse	9	15	L
253.39	0	Choice	Nurse	9	15	L
256.40	0	Fixation	Jewish	5	20	R
259.41	4.08	Recipient	Jewish	5	20	R
263.49	0	Payoff	Jewish	5	20	R
268.61	0	Choice	Jewish	5	20	R
271.62	0	Fixation	Greek	6	14	R
275.63	4.08	Recipient	Greek	6	14	R
279.71	0	Payoff	Greek	6	14	R
285.41	0	Choice	Greek	6	14	R
288.42	0	Fixation	Mentaldisability	20	5	R
291.43	4.08	Recipient	Mentaldisability	20	5	R
295.51	0	Payoff	Mentaldisability	20	5	R
300.52	0	Choice	Mentaldisability	20	5	R
303.53	0	Fixation	Lawyer	6	14	R
306.54	4.08	Recipient	Lawyer	6	14	R
310.62	0	Payoff	Lawyer	6	14	R
315.50	0	Choice	Lawyer	6	14	R
318.51	0	Fixation	Jewish	14	6	R
322.51	4.08	Recipient	Jewish	14	6	R
326.59	0	Payoff	Jewish	14	6	R
331.98	0	Choice	Jewish	14	6	R
334.99	0	Fixation	Japanese	5	20	R
338.00	4.08	Recipient	Japanese	5	20	R
342.08	0	Payoff	Japanese	5	20	R
347.07	0	Choice	Japanese	5	20	R
350.08	0	Fixation	Welfarerecipient	6	14	L
353.09	4.08	Recipient	Welfarerecipient	6	14	L
357.17	0	Payoff	Welfarerecipient	6	14	L
362.23	0	Choice	Welfarerecipient	6	14	L
365.25	0	Fixation	Jewish	9	15	L
368.25	4.08	Recipient	Jewish	9	15	L
372.33	0	Payoff	Jewish	9	15	L
377.97	0	Choice	Jewish	9	15	L
380.98	0	Fixation	Welfarerecipient	5	5	R
383.99	4.08	Recipient	Welfarerecipient	5	5	R
388.07	0	Payoff	Welfarerecipient	5	5	R
393.00	0	Choice	Welfarerecipient	5	5	R
396.01	0	Fixation	PrisonInmate	20	5	L
400.01	4.08	Recipient	PrisonInmate	20	5	L
404.09	0	Payoff	PrisonInmate	20	5	L
409.01	0	Choice	PrisonInmate	20	5	L
412.02	0	Fixation	Farmer	6	14	R
415.02	4.08	Recipient	Farmer	6	14	R
419.11	0	Payoff	Farmer	6	14	R
424.06	0	Choice	Farmer	6	14	R
427.07	0	Fixation	Arab	15	15	L
430.07	4.08	Recipient	Arab	15	15	L
434.15	0	Payoff	Arab	15	15	L
439.08	0	Choice	Arab	15	15	L
442.09	0	Fixation	PrisonInmate	6	14	R
445.09	4.08	Recipient	PrisonInmate	6	14	R
449.18	0	Payoff	PrisonInmate	6	14	R
455.37	0	Choice	PrisonInmate	6	14	R
458.38	0	Fixation	Stay-at-homeparent	20	5	R
461.38	4.08	Recipient	Stay-at-homeparent	20	5	R
465.47	0	Payoff	Stay-at-homeparent	20	5	R
470.43	0	Choice	Stay-at-homeparent	20	5	R
473.44	0	Fixation	Mentaldisability	9	15	L
479.44	4.08	Recipient	Mentaldisability	9	15	L
483.52	0	Payoff	Mentaldisability	9	15	L
488.42	0	Choice	Mentaldisability	9	15	L
491.43	0	Fixation	Surgeon	9	15	R
495.43	4.08	Recipient	Surgeon	9	15	R
499.52	0	Payoff	Surgeon	9	15	R
505.08	0	Choice	Surgeon	9	15	R
508.09	0	Fixation	PrisonInmate	15	15	L
512.09	4.08	Recipient	PrisonInmate	15	15	L
516.18	0	Payoff	PrisonInmate	15	15	L
521.13	0	Choice	PrisonInmate	15	15	L
524.14	0	Fixation	Olympicathlete	20	5	R
533.14	4.08	Recipient	Olympicathlete	20	5	R
537.23	0	Payoff	Olympicathlete	20	5	R
542.12	0	Choice	Olympicathlete	20	5	R
545.13	0	Fixation	Lawyer	15	9	L
548.13	4.08	Recipient	Lawyer	15	9	L
552.21	0	Payoff	Lawyer	15	9	L
557.33	0	Choice	Lawyer	15	9	L
560.34	0	Fixation	British	6	14	R
563.35	4.08	Recipient	British	6	14	R
567.43	0	Payoff	British	6	14	R
572.41	0	Choice	British	6	14	R
575.42	0	Fixation	Drugaddiction	15	15	L
579.43	4.08	Recipient	Drugaddiction	15	15	L
583.51	0	Payoff	Drugaddiction	15	15	L
588.59	0	Choice	Drugaddiction	15	15	L
591.60	0	Fixation	Drugaddiction	5	20	R
594.60	4.08	Recipient	Drugaddiction	5	20	R
598.68	0	Payoff	Drugaddiction	5	20	R
604.28	0	Choice	Drugaddiction	5	20	R
607.29	0	Fixation	Olympicathlete	15	9	L
611.29	4.08	Recipient	Olympicathlete	15	9	L
615.37	0	Payoff	Olympicathlete	15	9	L
620.71	0	Choice	Olympicathlete	15	9	L
623.72	0	Fixation	Greek	20	5	R
625.72	4.08	Recipient	Greek	20	5	R
629.81	0	Payoff	Greek	20	5	R
634.97	0	Choice	Greek	20	5	R
637.99	0	Fixation	Elderly	5	20	R
641.99	4.08	Recipient	Elderly	5	20	R
646.07	0	Payoff	Elderly	5	20	R
650.97	0	Choice	Elderly	5	20	R
653.98	0	Fixation	Accountant	5	5	R
659.98	4.08	Recipient	Accountant	5	5	R
664.06	0	Payoff	Accountant	5	5	R
669.21	0	Choice	Accountant	5	5	R
672.22	0	Fixation	Spanish	15	9	L
675.23	4.08	Recipient	Spanish	15	9	L
679.31	0	Payoff	Spanish	15	9	L
684.41	0	Choice	Spanish	15	9	L
687.42	0	Fixation	Nurse	5	20	R
691.42	4.08	Recipient	Nurse	5	20	R
695.51	0	Payoff	Nurse	5	20	R
700.49	0	Choice	Nurse	5	20	R
703.50	0	Fixation	Olympicathlete	6	14	R
706.50	4.08	Recipient	Olympicathlete	6	14	R
710.59	0	Payoff	Olympicathlete	6	14	R
716.04	0	Choice	Olympicathlete	6	14	R
719.05	0	Fixation	Japanese	9	15	L
723.06	4.08	Recipient	Japanese	9	15	L
727.14	0	Payoff	Japanese	9	15	L
733.37	0	Choice	Japanese	9	15	L
736.38	0	Fixation	Homeless	9	15	L
739.39	4.08	Recipient	Homeless	9	15	L
743.47	0	Payoff	Homeless	9	15	L
748.41	0	Choice	Homeless	9	15	L
751.42	0	Fixation	Elderly	20	5	R
755.42	4.08	Recipient	Elderly	20	5	R
759.50	0	Payoff	Elderly	20	5	R
764.40	0	Choice	Elderly	20	5	R
767.41	0	Fixation	Olympicathlete	9	15	L
770.41	4.08	Recipient	Olympicathlete	9	15	L
774.50	0	Payoff	Olympicathlete	9	15	L
779.72	0	Choice	Olympicathlete	9	15	L
782.73	0	Fixation	Arab	5	20	R
785.73	4.08	Recipient	Arab	5	20	R
789.81	0	Payoff	Arab	5	20	R
795.06	0	Choice	Arab	5	20	R
798.07	0	Fixation	Lawyer	5	5	R
807.08	4.08	Recipient	Lawyer	5	5	R
811.16	0	Payoff	Lawyer	5	5	R
816.10	0	Choice	Lawyer	5	5	R
819.11	0	Fixation	Mentaldisability	6	14	R
823.11	4.08	Recipient	Mentaldisability	6	14	R
827.19	0	Payoff	Mentaldisability	6	14	R
832.60	0	Choice	Mentaldisability	6	14	R
835.61	0	Fixation	Irish	14	6	R
838.61	4.08	Recipient	Irish	14	6	R
842.70	0	Payoff	Irish	14	6	R
848.32	0	Choice	Irish	14	6	R
851.33	0	Fixation	PrisonInmate	15	9	L
854.34	4.08	Recipient	PrisonInmate	15	9	L
858.42	0	Payoff	PrisonInmate	15	9	L
863.45	0	Choice	PrisonInmate	15	9	L
866.46	0	Fixation	Welfarerecipient	20	5	R
868.46	4.08	Recipient	Welfarerecipient	20	5	R
872.54	0	Payoff	Welfarerecipient	20	5	R
878.40	0	Choice	Welfarerecipient	20	5	R
881.40	0	Fixation	Farmer	15	15	L
883.41	4.08	Recipient	Farmer	15	15	L
887.49	0	Payoff	Farmer	15	15	L
892.39	0	Choice	Farmer	15	15	L
895.40	0	Fixation	Lawyer	15	15	L
898.41	4.08	Recipient	Lawyer	15	15	L
902.49	0	Payoff	Lawyer	15	15	L
907.24	0	Choice	Lawyer	15	15	L
910.25	0	Fixation	Nurse	6	14	R
913.26	4.08	Recipient	Nurse	6	14	R
917.34	0	Payoff	Nurse	6	14	R
922.48	0	Choice	Nurse	6	14	R
925.49	0	Fixation	Accountant	9	15	L
928.50	4.08	Recipient	Accountant	9	15	L
932.58	0	Payoff	Accountant	9	15	L
938.52	0	Choice	Accountant	9	15	L
941.53	0	Fixation	Greek	5	5	R
944.53	4.08	Recipient	Greek	5	5	R
948.62	0	Payoff	Greek	5	5	R
953.83	0	Choice	Greek	5	5	R
956.84	0	Fixation	Arab	14	6	R
960.84	4.08	Recipient	Arab	14	6	R
964.92	0	Payoff	Arab	14	6	R
969.96	0	Choice	Arab	14	6	R
972.97	0	Fixation	Stay-at-homeparent	9	15	R
975.97	4.08	Recipient	Stay-at-homeparent	9	15	R
980.05	0	Payoff	Stay-at-homeparent	9	15	R
985.36	0	Choice	Stay-at-homeparent	9	15	R
988.37	0	Fixation	Drugaddiction	15	9	L
992.38	4.09	Recipient	Drugaddiction	15	9	L
996.46	0	Payoff	Drugaddiction	15	9	L
1003.39	0	Choice	Drugaddiction	15	9	L
1006.40	0	Fixation	Homeless	15	9	R
1009.40	4.08	Recipient	Homeless	15	9	R
1013.49	0	Payoff	Homeless	15	9	R
1018.87	0	Choice	Homeless	15	9	R
1021.88	0	Fixation	Arab	9	15	L
1024.89	4.08	Recipient	Arab	9	15	L
1028.97	0	Payoff	Arab	9	15	L
1034.04	0	Choice	Arab	9	15	L
1037.05	0	Fixation	Irish	5	20	R
1040.05	4.08	Recipient	Irish	5	20	R
1044.14	0	Payoff	Irish	5	20	R
1049.31	0	Choice	Irish	5	20	R
1052.32	0	Fixation	Surgeon	5	5	R
1055.33	4.08	Recipient	Surgeon	5	5	R
1059.41	0	Payoff	Surgeon	5	5	R
1064.68	0	Choice	Surgeon	5	5	R
1067.69	0	Fixation	Stay-at-homeparent	6	14	R
1070.70	4.08	Recipient	Stay-at-homeparent	6	14	R
1074.78	0	Payoff	Stay-at-homeparent	6	14	R
