onset	duration	event_type	recipient	selfpay	recipientpay	button
0.01	0	Fixation	Nurse	5	20	R
3.01	4.68	Recipient	Nurse	5	20	R
7.69	0	Payoff	Nurse	5	20	R
12.21	0	Choice	Nurse	5	20	R
15.22	0	Fixation	PrisonInmate	20	5	L
18.23	4.69	Recipient	PrisonInmate	20	5	L
22.92	0	Payoff	PrisonInmate	20	5	L
27.09	0	Choice	PrisonInmate	20	5	L
30.10	0	Fixation	Elderly	14	6	L
33.11	4.68	Recipient	Elderly	14	6	L
37.79	0	Payoff	Elderly	14	6	L
42.20	0	Choice	Elderly	14	6	L
45.22	0	Fixation	Japanese	15	9	L
52.23	4.68	Recipient	Japanese	15	9	L
56.91	0	Payoff	Japanese	15	9	L
61.56	0	Choice	Japanese	15	9	L
64.57	0	Fixation	Drugaddiction	6	14	R
76.58	4.69	Recipient	Drugaddiction	6	14	R
81.27	0	Payoff	Drugaddiction	6	14	R
85.93	0	Choice	Drugaddiction	6	14	R
88.95	0	Fixation	Arab	20	5	L
91.96	4.68	Recipient	Arab	20	5	L
96.64	0	Payoff	Arab	20	5	L
101.52	0	Choice	Arab	20	5	L
104.54	0	Fixation	Farmer	14	6	L
113.55	4.68	Recipient	Farmer	14	6	L
118.23	0	Payoff	Farmer	14	6	L
122.56	0	Choice	Farmer	14	6	L
125.58	0	Fixation	Drugaddiction	14	6	L
128.58	4.69	Recipient	Drugaddiction	14	6	L
133.27	0	Payoff	Drugaddiction	14	6	L
137.76	0	Choice	Drugaddiction	14	6	L
140.78	0	Fixation	Irish	6	14	R
146.79	4.68	Recipient	Irish	6	14	R
151.47	0	Payoff	Irish	6	14	R
157.30	0	Choice	Irish	6	14	R
160.31	0	Fixation	Mentaldisability	5	5	R
163.32	4.68	Recipient	Mentaldisability	5	5	R
167.99	0	Payoff	Mentaldisability	5	5	R
173.07	0	Choice	Mentaldisability	5	5	R
176.08	0	Fixation	British	15	15	L
180.08	4.68	Recipient	British	15	15	L
184.76	0	Payoff	British	15	15	L
189.61	0	Choice	British	15	15	L
192.62	0	Fixation	Accountant	9	15	NA
194.62	4.68	Recipient	Accountant	9	15	NA
199.30	0	Payoff	Accountant	9	15	NA
207.94	0	Timeout	Accountant	9	15	NA
210.94	0	Fixation	Spanish	5	20	R
217.94	4.68	Recipient	Spanish	5	20	R
222.62	0	Payoff	Spanish	5	20	R
226.99	0	Choice	Spanish	5	20	R
230.00	0	Fixation	Nurse	9	15	R
234.00	4.68	Recipient	Nurse	9	15	R
238.68	0	Payoff	Nurse	9	15	R
243.49	0	Choice	Nurse	9	15	R
246.50	0	Fixation	Drugaddiction	15	9	L
248.51	4.68	Recipient	Drugaddiction	15	9	L
253.19	0	Payoff	Drugaddiction	15	9	L
257.36	0	Choice	Drugaddiction	15	9	L
260.37	0	Fixation	Olympicathlete	14	6	L
272.37	4.68	Recipient	Olympicathlete	14	6	L
277.05	0	Payoff	Olympicathlete	14	6	L
281.43	0	Choice	Olympicathlete	14	6	L
284.44	0	Fixation	Stay-at-homeparent	5	20	R
287.44	4.68	Recipient	Stay-at-homeparent	5	20	R
292.12	0	Payoff	Stay-at-homeparent	5	20	R
297.07	0	Choice	Stay-at-homeparent	5	20	R
300.09	0	Fixation	Mentaldisability	14	6	L
311.09	4.68	Recipient	Mentaldisability	14	6	L
315.77	0	Payoff	Mentaldisability	14	6	L
322.03	0	Choice	Mentaldisability	14	6	L
325.04	0	Fixation	Lawyer	9	15	R
328.05	4.68	Recipient	Lawyer	9	15	R
332.72	0	Payoff	Lawyer	9	15	R
337.33	0	Choice	Lawyer	9	15	R
340.34	0	Fixation	Stay-at-homeparent	15	15	L
344.34	4.68	Recipient	Stay-at-homeparent	15	15	L
349.02	0	Payoff	Stay-at-homeparent	15	15	L
353.24	0	Choice	Stay-at-homeparent	15	15	L
356.25	0	Fixation	Homeless	6	14	R
