onset	duration	event_type	recipient	selfpay	recipientpay	button
0.00	0	Fixation	Jewish	6	14	R
9.01	4.93	Recipient	Jewish	6	14	R
13.93	0	Payoff	Jewish	6	14	R
18.51	0	Choice	Jewish	6	14	R
21.52	0	Fixation	Spanish	5	20	R
23.53	4.92	Recipient	Spanish	5	20	R
28.45	0	Payoff	Spanish	5	20	R
33.11	0	Choice	Spanish	5	20	R
36.12	0	Fixation	Homeless	6	14	L
39.13	4.93	Recipient	Homeless	6	14	L
44.05	0	Payoff	Homeless	6	14	L
49.56	0	Choice	Homeless	6	14	L
52.57	0	Fixation	Japanese	5	5	R
55.57	4.92	Recipient	Japanese	5	5	R
60.50	0	Payoff	Japanese	5	5	R
65.04	0	Choice	Japanese	5	5	R
68.05	0	Fixation	Elderly	6	14	R
70.05	4.92	Recipient	Elderly	6	14	R
74.98	0	Payoff	Elderly	6	14	R
80.15	0	Choice	Elderly	6	14	R
83.16	0	Fixation	Arab	5	20	R
86.17	4.92	Recipient	Arab	5	20	R
91.09	0	Payoff	Arab	5	20	R
95.63	0	Choice	Arab	5	20	R
98.64	0	Fixation	British	5	5	R
101.64	4.92	Recipient	British	5	5	R
106.57	0	Payoff	British	5	5	R
111.17	0	Choice	British	5	5	R
114.18	0	Fixation	Farmer	15	15	L
116.19	4.92	Recipient	Farmer	15	15	L
121.11	0	Payoff	Farmer	15	15	L
127.42	0	Choice	Farmer	15	15	L
130.43	0	Fixation	Lawyer	15	9	L
134.44	4.92	Recipient	Lawyer	15	9	L
139.36	0	Payoff	Lawyer	15	9	L
144.61	0	Choice	Lawyer	15	9	L
147.63	0	Fixation	Nurse	5	20	R
149.63	4.92	Recipient	Nurse	5	20	R
154.56	0	Payoff	Nurse	5	20	R
159.53	0	Choice	Nurse	5	20	R
162.54	0	Fixation	Surgeon	15	15	L
165.54	4.92	Recipient	Surgeon	15	15	L
170.46	0	Payoff	Surgeon	15	15	L
175.19	0	Choice	Surgeon	15	15	L
178.20	0	Fixation	Arab	15	15	L
182.20	4.92	Recipient	Arab	15	15	L
187.13	0	Payoff	Arab	15	15	L
191.58	0	Choice	Arab	15	15	L
194.59	0	Fixation	Elderly	20	5	L
201.59	4.93	Recipient	Elderly	20	5	L
206.52	0	Payoff	Elderly	20	5	L
212.80	0	Choice	Elderly	20	5	L
215.81	0	Fixation	Farmer	5	5	R
218.81	4.92	Recipient	Farmer	5	5	R
223.74	0	Payoff	Farmer	5	5	R
228.34	0	Choice	Farmer	5	5	R
231.35	0	Fixation	Homeless	5	5	R
235.35	4.92	Recipient	Homeless	5	5	R
240.28	0	Payoff	Homeless	5	5	R
245.02	0	Choice	Homeless	5	5	R
248.03	0	Fixation	Greek	15	9	R
250.03	4.92	Recipient	Greek	15	9	R
254.96	0	Payoff	Greek	15	9	R
259.76	0	Choice	Greek	15	9	R
262.76	0	Fixation	Stay-at-homeparent	15	9	R
264.77	4.92	Recipient	Stay-at-homeparent	15	9	R
269.69	0	Payoff	Stay-at-homeparent	15	9	R
275.26	0	Choice	Stay-at-homeparent	15	9	R
278.27	0	Fixation	Greek	5	20	R
288.27	4.92	Recipient	Greek	5	20	R
293.19	0	Payoff	Greek	5	20	R
298.60	0	Choice	Greek	5	20	R
301.61	0	Fixation	Welfarerecipient	9	15	L
303.61	4.93	Recipient	Welfarerecipient	9	15	L
308.54	0	Payoff	Welfarerecipient	9	15	L
315.35	0	Choice	Welfarerecipient	9	15	L
318.35	0	Fixation	Spanish	15	15	L
321.36	4.92	Recipient	Spanish	15	15	L
326.28	0	Payoff	Spanish	15	15	L
330.88	0	Choice	Spanish	15	15	L
333.89	0	Fixation	Lawyer	5	5	R
335.89	4.92	Recipient	Lawyer	5	5	R
340.82	0	Payoff	Lawyer	5	5	R
345.47	0	Choice	Lawyer	5	5	R
348.48	0	Fixation	Olympicathlete	6	14	R
351.48	4.92	Recipient	Olympicathlete	6	14	R
356.41	0	Payoff	Olympicathlete	6	14	R
361.70	0	Choice	Olympicathlete	6	14	R
364.71	0	Fixation	PrisonInmate	5	5	R
371.71	4.93	Recipient	PrisonInmate	5	5	R
376.64	0	Payoff	PrisonInmate	5	5	R
381.15	0	Choice	PrisonInmate	5	5	R
384.16	0	Fixation	Olympicathlete	14	6	L
387.16	4.92	Recipient	Olympicathlete	14	6	L
392.09	0	Payoff	Olympicathlete	14	6	L
397.14	0	Choice	Olympicathlete	14	6	L
400.15	0	Fixation	Lawyer	15	15	L
405.15	4.92	Recipient	Lawyer	15	15	L
410.08	0	Payoff	Lawyer	15	15	L
415.21	0	Choice	Lawyer	15	15	L
418.21	0	Fixation	Drugaddiction	6	14	R
420.22	4.93	Recipient	Drugaddiction	6	14	R
425.14	0	Payoff	Drugaddiction	6	14	R
430.37	0	Choice	Drugaddiction	6	14	R
433.38	0	Fixation	Mentaldisability	6	14	R
436.38	4.92	Recipient	Mentaldisability	6	14	R
441.30	0	Payoff	Mentaldisability	6	14	R
448.04	0	Choice	Mentaldisability	6	14	R
451.05	0	Fixation	Surgeon	5	20	R
454.06	4.92	Recipient	Surgeon	5	20	R
458.98	0	Payoff	Surgeon	5	20	R
463.50	0	Choice	Surgeon	5	20	R
466.51	0	Fixation	Spanish	5	5	R
469.52	4.93	Recipient	Spanish	5	5	R
474.44	0	Payoff	Spanish	5	5	R
479.25	0	Choice	Spanish	5	5	R
482.26	0	Fixation	Jewish	14	6	R
484.26	4.92	Recipient	Jewish	14	6	R
489.18	0	Payoff	Jewish	14	6	R
493.90	0	Choice	Jewish	14	6	R
496.91	0	Fixation	Nurse	5	5	R
500.92	4.92	Recipient	Nurse	5	5	R
505.84	0	Payoff	Nurse	5	5	R
510.76	0	Choice	Nurse	5	5	R
513.77	0	Fixation	Irish	6	14	R
524.77	4.92	Recipient	Irish	6	14	R
529.69	0	Payoff	Irish	6	14	R
534.48	0	Choice	Irish	6	14	R
537.49	0	Fixation	Drugaddiction	5	20	R
539.50	4.92	Recipient	Drugaddiction	5	20	R
544.42	0	Payoff	Drugaddiction	5	20	R
549.99	0	Choice	Drugaddiction	5	20	R
553.00	0	Fixation	Accountant	15	9	R
564.00	4.93	Recipient	Accountant	15	9	R
568.93	0	Payoff	Accountant	15	9	R
573.85	0	Choice	Accountant	15	9	R
576.86	0	Fixation	Spanish	20	5	R
579.86	4.92	Recipient	Spanish	20	5	R
584.79	0	Payoff	Spanish	20	5	R
589.79	0	Choice	Spanish	20	5	R
592.80	0	Fixation	Stay-at-homeparent	6	14	R
595.81	4.93	Recipient	Stay-at-homeparent	6	14	R
600.73	0	Payoff	Stay-at-homeparent	6	14	R
605.42	0	Choice	Stay-at-homeparent	6	14	R
608.43	0	Fixation	Stay-at-homeparent	15	15	L
613.44	4.93	Recipient	Stay-at-homeparent	15	15	L
618.36	0	Payoff	Stay-at-homeparent	15	15	L
622.91	0	Choice	Stay-at-homeparent	15	15	L
625.92	0	Fixation	British	9	15	R
629.92	4.92	Recipient	British	9	15	R
