onset	duration	event_type	recipient	selfpay	recipientpay	button
0.29	0	Fixation	Surgeon	20	5	L
2.29	5.18	Recipient	Surgeon	20	5	L
7.47	0	Payoff	Surgeon	20	5	L
13.62	0	Choice	Surgeon	20	5	L
16.64	0	Fixation	Arab	20	5	R
20.65	5.18	Recipient	Arab	20	5	R
25.83	0	Payoff	Arab	20	5	R
32.87	0	Choice	Arab	20	5	R
35.89	0	Fixation	Accountant	5	5	R
37.90	5.18	Recipient	Accountant	5	5	R
43.08	0	Payoff	Accountant	5	5	R
49.36	0	Choice	Accountant	5	5	R
52.38	0	Fixation	British	9	15	R
55.38	5.18	Recipient	British	9	15	R
60.56	0	Payoff	British	9	15	R
66.55	0	Choice	British	9	15	R
69.57	0	Fixation	PrisonInmate	5	20	R
72.58	5.18	Recipient	PrisonInmate	5	20	R
77.76	0	Payoff	PrisonInmate	5	20	R
83.76	0	Choice	PrisonInmate	5	20	R
86.78	0	Fixation	Elderly	9	15	L
90.79	5.18	Recipient	Elderly	9	15	L
95.96	0	Payoff	Elderly	9	15	L
102.01	0	Choice	Elderly	9	15	L
105.03	0	Fixation	Accountant	15	9	L
108.04	5.18	Recipient	Accountant	15	9	L
113.22	0	Payoff	Accountant	15	9	L
119.24	0	Choice	Accountant	15	9	L
122.26	0	Fixation	PrisonInmate	6	14	R
126.27	5.18	Recipient	PrisonInmate	6	14	R
131.45	0	Payoff	PrisonInmate	6	14	R
137.58	0	Choice	PrisonInmate	6	14	R
140.60	0	Fixation	PrisonInmate	20	5	L
144.61	5.18	Recipient	PrisonInmate	20	5	L
149.79	0	Payoff	PrisonInmate	20	5	L
156.25	0	Choice	PrisonInmate	20	5	L
159.27	0	Fixation	Japanese	5	20	R
162.28	5.17	Recipient	Japanese	5	20	R
167.45	0	Payoff	Japanese	5	20	R
173.42	0	Choice	Japanese	5	20	R
176.43	0	Fixation	Welfarerecipient	15	9	R
179.43	5.18	Recipient	Welfarerecipient	15	9	R
184.61	0	Payoff	Welfarerecipient	15	9	R
191.26	0	Choice	Welfarerecipient	15	9	R
194.27	0	Fixation	Mentaldisability	15	15	L
196.28	5.18	Recipient	Mentaldisability	15	15	L
201.45	0	Payoff	Mentaldisability	15	15	L
207.20	0	Choice	Mentaldisability	15	15	L
210.21	0	Fixation	Olympicathlete	5	5	R
215.22	5.18	Recipient	Olympicathlete	5	5	R
220.39	0	Payoff	Olympicathlete	5	5	R
226.36	0	Choice	Olympicathlete	5	5	R
229.36	0	Fixation	Jewish	14	6	L
231.37	5.18	Recipient	Jewish	14	6	L
236.54	0	Payoff	Jewish	14	6	L
242.33	0	Choice	Jewish	14	6	L
245.34	0	Fixation	Drugaddiction	6	14	R
249.34	5.18	Recipient	Drugaddiction	6	14	R
254.52	0	Payoff	Drugaddiction	6	14	R
260.45	0	Choice	Drugaddiction	6	14	R
263.46	0	Fixation	Drugaddiction	15	15	L
266.46	5.18	Recipient	Drugaddiction	15	15	L
271.64	0	Payoff	Drugaddiction	15	15	L
277.38	0	Choice	Drugaddiction	15	15	L
280.39	0	Fixation	Irish	15	9	L
283.39	5.18	Recipient	Irish	15	9	L
288.57	0	Payoff	Irish	15	9	L
294.35	0	Choice	Irish	15	9	L
297.35	0	Fixation	Spanish	9	15	R
305.36	5.18	Recipient	Spanish	9	15	R
310.53	0	Payoff	Spanish	9	15	R
316.75	0	Choice	Spanish	9	15	R
319.76	0	Fixation	Irish	5	5	R
322.77	5.18	Recipient	Irish	5	5	R
327.94	0	Payoff	Irish	5	5	R
333.91	0	Choice	Irish	5	5	R
336.92	0	Fixation	Welfarerecipient	9	15	L
339.92	5.18	Recipient	Welfarerecipient	9	15	L
345.10	0	Payoff	Welfarerecipient	9	15	L
350.86	0	Choice	Welfarerecipient	9	15	L
353.87	0	Fixation	Welfarerecipient	5	20	L
356.88	5.18	Recipient	Welfarerecipient	5	20	L
362.05	0	Payoff	Welfarerecipient	5	20	L
368.03	0	Choice	Welfarerecipient	5	20	L
371.04	0	Fixation	Elderly	15	9	L
374.04	5.18	Recipient	Elderly	15	9	L
379.22	0	Payoff	Elderly	15	9	L
385.09	0	Choice	Elderly	15	9	L
388.09	0	Fixation	Arab	15	15	L
390.10	5.17	Recipient	Arab	15	15	L
395.27	0	Payoff	Arab	15	15	L
401.32	0	Choice	Arab	15	15	L
404.32	0	Fixation	Mentaldisability	20	5	R
407.33	5.18	Recipient	Mentaldisability	20	5	R
412.50	0	Payoff	Mentaldisability	20	5	R
418.55	0	Choice	Mentaldisability	20	5	R
421.56	0	Fixation	Farmer	9	15	L
424.56	5.17	Recipient	Farmer	9	15	L
429.74	0	Payoff	Farmer	9	15	L
435.48	0	Choice	Farmer	9	15	L
438.49	0	Fixation	Japanese	15	9	L
441.49	5.18	Recipient	Japanese	15	9	L
446.67	0	Payoff	Japanese	15	9	L
452.55	0	Choice	Japanese	15	9	L
455.56	0	Fixation	Homeless	6	14	L
467.56	5.18	Recipient	Homeless	6	14	L
472.74	0	Payoff	Homeless	6	14	L
478.95	0	Choice	Homeless	6	14	L
481.96	0	Fixation	Homeless	5	5	R
485.97	5.17	Recipient	Homeless	5	5	R
491.14	0	Payoff	Homeless	5	5	R
497.10	0	Choice	Homeless	5	5	R
500.11	0	Fixation	Greek	14	6	L
504.11	5.18	Recipient	Greek	14	6	L
509.29	0	Payoff	Greek	14	6	L
515.26	0	Choice	Greek	14	6	L
518.27	0	Fixation	Mentaldisability	6	14	L
520.27	5.18	Recipient	Mentaldisability	6	14	L
525.45	0	Payoff	Mentaldisability	6	14	L
531.35	0	Choice	Mentaldisability	6	14	L
534.36	0	Fixation	Accountant	5	20	R
536.37	5.17	Recipient	Accountant	5	20	R
541.54	0	Payoff	Accountant	5	20	R
547.28	0	Choice	Accountant	5	20	R
550.29	0	Fixation	Spanish	15	15	L
553.30	5.18	Recipient	Spanish	15	15	L
558.47	0	Payoff	Spanish	15	15	L
564.47	0	Choice	Spanish	15	15	L
567.48	0	Fixation	Stay-at-homeparent	5	5	R
570.49	5.18	Recipient	Stay-at-homeparent	5	5	R
575.67	0	Payoff	Stay-at-homeparent	5	5	R
581.49	0	Choice	Stay-at-homeparent	5	5	R
584.50	0	Fixation	Lawyer	9	15	L
587.50	5.17	Recipient	Lawyer	9	15	L
592.68	0	Payoff	Lawyer	9	15	L
598.52	0	Choice	Lawyer	9	15	L
601.53	0	Fixation	Jewish	20	5	L
605.54	5.18	Recipient	Jewish	20	5	L
610.72	0	Payoff	Jewish	20	5	L
616.58	0	Choice	Jewish	20	5	L
619.59	0	Fixation	Drugaddiction	5	20	R
626.59	5.18	Recipient	Drugaddiction	5	20	R
631.77	0	Payoff	Drugaddiction	5	20	R
637.93	0	Choice	Drugaddiction	5	20	R
640.94	0	Fixation	Stay-at-homeparent	15	9	L
648.95	5.18	Recipient	Stay-at-homeparent	15	9	L
