onset	duration	event_type	recipient	selfpay	recipientpay	button
0.00	0	Fixation	Homeless	5	5	R
3.01	3.35	Recipient	Homeless	5	5	R
6.36	0	Payoff	Homeless	5	5	R
11.42	0	Choice	Homeless	5	5	R
14.43	0	Fixation	Accountant	5	20	R
17.43	3.35	Recipient	Accountant	5	20	R
20.78	0	Payoff	Accountant	5	20	R
25.50	0	Choice	Accountant	5	20	R
28.51	0	Fixation	Japanese	5	20	R
30.52	3.35	Recipient	Japanese	5	20	R
33.87	0	Payoff	Japanese	5	20	R
37.95	0	Choice	Japanese	5	20	R
40.96	0	Fixation	Farmer	15	9	R
50.96	3.35	Recipient	Farmer	15	9	R
54.31	0	Payoff	Farmer	15	9	R
58.65	0	Choice	Farmer	15	9	R
61.66	0	Fixation	Lawyer	6	14	R
65.67	3.35	Recipient	Lawyer	6	14	R
69.02	0	Payoff	Lawyer	6	14	R
73.64	0	Choice	Lawyer	6	14	R
76.65	0	Fixation	Mentaldisability	6	14	L
78.66	3.35	Recipient	Mentaldisability	6	14	L
82.01	0	Payoff	Mentaldisability	6	14	L
86.51	0	Choice	Mentaldisability	6	14	L
89.52	0	Fixation	Drugaddiction	20	5	L
91.52	3.35	Recipient	Drugaddiction	20	5	L
94.88	0	Payoff	Drugaddiction	20	5	L
99.42	0	Choice	Drugaddiction	20	5	L
102.43	0	Fixation	Irish	5	20	R
105.44	3.35	Recipient	Irish	5	20	R
108.79	0	Payoff	Irish	5	20	R
113.38	0	Choice	Irish	5	20	R
116.40	0	Fixation	Surgeon	5	20	R
120.40	3.35	Recipient	Surgeon	5	20	R
123.75	0	Payoff	Surgeon	5	20	R
128.53	0	Choice	Surgeon	5	20	R
131.54	0	Fixation	Stay-at-homeparent	14	6	R
134.54	3.35	Recipient	Stay-at-homeparent	14	6	R
137.89	0	Payoff	Stay-at-homeparent	14	6	R
142.95	0	Choice	Stay-at-homeparent	14	6	R
145.96	0	Fixation	Greek	15	15	L
148.97	3.35	Recipient	Greek	15	15	L
152.31	0	Payoff	Greek	15	15	L
157.12	0	Choice	Greek	15	15	L
160.13	0	Fixation	PrisonInmate	5	5	R
163.13	3.35	Recipient	PrisonInmate	5	5	R
166.48	0	Payoff	PrisonInmate	5	5	R
171.33	0	Choice	PrisonInmate	5	5	R
174.34	0	Fixation	Farmer	15	15	L
177.34	3.35	Recipient	Farmer	15	15	L
180.69	0	Payoff	Farmer	15	15	L
184.94	0	Choice	Farmer	15	15	L
187.95	0	Fixation	PrisonInmate	15	15	L
191.95	3.35	Recipient	PrisonInmate	15	15	L
195.30	0	Payoff	PrisonInmate	15	15	L
199.88	0	Choice	PrisonInmate	15	15	L
202.89	0	Fixation	Japanese	15	15	L
207.89	3.35	Recipient	Japanese	15	15	L
211.24	0	Payoff	Japanese	15	15	L
216.97	0	Choice	Japanese	15	15	L
219.98	0	Fixation	Stay-at-homeparent	20	5	R
222.98	3.35	Recipient	Stay-at-homeparent	20	5	R
226.33	0	Payoff	Stay-at-homeparent	20	5	R
231.31	0	Choice	Stay-at-homeparent	20	5	R
234.32	0	Fixation	British	15	9	L
243.32	3.35	Recipient	British	15	9	L
246.67	0	Payoff	British	15	9	L
251.58	0	Choice	British	15	9	L
254.59	0	Fixation	Lawyer	14	6	L
257.59	3.35	Recipient	Lawyer	14	6	L
260.94	0	Payoff	Lawyer	14	6	L
265.23	0	Choice	Lawyer	14	6	L
268.24	0	Fixation	Arab	5	5	R
272.25	3.35	Recipient	Arab	5	5	R
275.60	0	Payoff	Arab	5	5	R
280.34	0	Choice	Arab	5	5	R
283.35	0	Fixation	Greek	14	6	L
286.36	3.35	Recipient	Greek	14	6	L
289.71	0	Payoff	Greek	14	6	L
294.03	0	Choice	Greek	14	6	L
297.04	0	Fixation	Elderly	20	5	R
299.04	3.35	Recipient	Elderly	20	5	R
302.39	0	Payoff	Elderly	20	5	R
306.78	0	Choice	Elderly	20	5	R
309.79	0	Fixation	Olympicathlete	9	15	R
314.79	3.35	Recipient	Olympicathlete	9	15	R
318.14	0	Payoff	Olympicathlete	9	15	R
324.12	0	Choice	Olympicathlete	9	15	R
327.13	0	Fixation	Stay-at-homeparent	9	15	R
335.13	3.35	Recipient	Stay-at-homeparent	9	15	R
338.48	0	Payoff	Stay-at-homeparent	9	15	R
342.77	0	Choice	Stay-at-homeparent	9	15	R
345.78	0	Fixation	Elderly	6	14	L
348.78	3.35	Recipient	Elderly	6	14	L
352.13	0	Payoff	Elderly	6	14	L
356.78	0	Choice	Elderly	6	14	L
359.79	0	Fixation	Homeless	15	15	L
362.79	3.35	Recipient	Homeless	15	15	L
366.14	0	Payoff	Homeless	15	15	L
371.14	0	Choice	Homeless	15	15	L
374.15	0	Fixation	Surgeon	20	5	L
377.15	3.35	Recipient	Surgeon	20	5	L
380.50	0	Payoff	Surgeon	20	5	L
385.16	0	Choice	Surgeon	20	5	L
388.17	0	Fixation	Accountant	6	14	R
395.18	3.35	Recipient	Accountant	6	14	R
398.52	0	Payoff	Accountant	6	14	R
403.96	0	Choice	Accountant	6	14	R
406.98	0	Fixation	Jewish	6	14	R
409.98	3.35	Recipient	Jewish	6	14	R
413.33	0	Payoff	Jewish	6	14	R
417.78	0	Choice	Jewish	6	14	R
420.79	0	Fixation	Jewish	9	15	R
423.79	3.35	Recipient	Jewish	9	15	R
427.14	0	Payoff	Jewish	9	15	R
432.62	0	Choice	Jewish	9	15	R
435.63	0	Fixation	British	5	20	R
439.64	3.35	Recipient	British	5	20	R
442.98	0	Payoff	British	5	20	R
449.11	0	Choice	British	5	20	R
452.12	0	Fixation	Arab	9	15	R
460.12	3.35	Recipient	Arab	9	15	R
463.47	0	Payoff	Arab	9	15	R
468.28	0	Choice	Arab	9	15	R
471.29	0	Fixation	PrisonInmate	5	20	R
475.29	3.35	Recipient	PrisonInmate	5	20	R
478.64	0	Payoff	PrisonInmate	5	20	R
483.97	0	Choice	PrisonInmate	5	20	R
486.98	0	Fixation	Homeless	6	14	L
489.99	3.35	Recipient	Homeless	6	14	L
493.34	0	Payoff	Homeless	6	14	L
497.78	0	Choice	Homeless	6	14	L
500.79	0	Fixation	Irish	15	15	L
503.79	3.35	Recipient	Irish	15	15	L
507.14	0	Payoff	Irish	15	15	L
511.31	0	Choice	Irish	15	15	L
514.32	0	Fixation	Farmer	9	15	L
517.32	3.35	Recipient	Farmer	9	15	L
520.67	0	Payoff	Farmer	9	15	L
524.80	0	Choice	Farmer	9	15	L
527.81	0	Fixation	Spanish	5	5	R
530.82	3.35	Recipient	Spanish	5	5	R
534.17	0	Payoff	Spanish	5	5	R
538.46	0	Choice	Spanish	5	5	R
541.47	0	Fixation	Mentaldisability	15	15	L
544.48	3.35	Recipient	Mentaldisability	15	15	L
547.83	0	Payoff	Mentaldisability	15	15	L
552.24	0	Choice	Mentaldisability	15	15	L
555.25	0	Fixation	Drugaddiction	15	15	R
567.25	3.35	Recipient	Drugaddiction	15	15	R
570.60	0	Payoff	Drugaddiction	15	15	R
575.46	0	Choice	Drugaddiction	15	15	R
578.47	0	Fixation	Welfarerecipient	20	5	R
582.48	3.35	Recipient	Welfarerecipient	20	5	R
585.83	0	Payoff	Welfarerecipient	20	5	R
590.27	0	Choice	Welfarerecipient	20	5	R
593.28	0	Fixation	Greek	5	20	R
604.28	3.35	Recipient	Greek	5	20	R
607.63	0	Payoff	Greek	5	20	R
612.00	0	Choice	Greek	5	20	R
615.00	0	Fixation	Welfarerecipient	9	15	L
618.01	3.35	Recipient	Welfarerecipient	9	15	L
621.36	0	Payoff	Welfarerecipient	9	15	L
626.28	0	Choice	Welfarerecipient	9	15	L
629.29	0	Fixation	Surgeon	14	6	L
633.30	3.35	Recipient	Surgeon	14	6	L
636.65	0	Payoff	Surgeon	14	6	L
641.14	0	Choice	Surgeon	14	6	L
644.15	0	Fixation	Japanese	14	6	L
647.15	3.35	Recipient	Japanese	14	6	L
650.50	0	Payoff	Japanese	14	6	L
