onset	duration	event_type	recipient	selfpay	recipientpay	button
0.00	0	Fixation	Surgeon	14	6	L
4.01	4.62	Recipient	Surgeon	14	6	L
8.63	0	Payoff	Surgeon	14	6	L
14.46	0	Choice	Surgeon	14	6	L
17.48	0	Fixation	Jewish	14	6	R
21.48	4.62	Recipient	Jewish	14	6	R
26.10	0	Payoff	Jewish	14	6	R
32.39	0	Choice	Jewish	14	6	R
35.40	0	Fixation	Arab	15	9	L
38.41	4.62	Recipient	Arab	15	9	L
43.02	0	Payoff	Arab	15	9	L
49.20	0	Choice	Arab	15	9	L
52.21	0	Fixation	Surgeon	15	9	R
56.22	4.62	Recipient	Surgeon	15	9	R
60.84	0	Payoff	Surgeon	15	9	R
66.89	0	Choice	Surgeon	15	9	R
69.90	0	Fixation	Lawyer	15	15	L
72.90	4.62	Recipient	Lawyer	15	15	L
77.52	0	Payoff	Lawyer	15	15	L
83.77	0	Choice	Lawyer	15	15	L
86.78	0	Fixation	Homeless	14	6	R
89.78	4.62	Recipient	Homeless	14	6	R
94.40	0	Payoff	Homeless	14	6	R
101.13	0	Choice	Homeless	14	6	R
104.14	0	Fixation	Japanese	5	5	R
106.14	4.62	Recipient	Japanese	5	5	R
110.76	0	Payoff	Japanese	5	5	R
116.92	0	Choice	Japanese	5	5	R
119.93	0	Fixation	Jewish	5	5	R
121.93	4.62	Recipient	Jewish	5	5	R
126.55	0	Payoff	Jewish	5	5	R
132.76	0	Choice	Jewish	5	5	R
135.77	0	Fixation	PrisonInmate	6	14	L
138.77	4.62	Recipient	PrisonInmate	6	14	L
143.39	0	Payoff	PrisonInmate	6	14	L
152.42	0	Choice	PrisonInmate	6	14	L
155.43	0	Fixation	PrisonInmate	5	5	L
159.43	4.62	Recipient	PrisonInmate	5	5	L
164.05	0	Payoff	PrisonInmate	5	5	L
170.11	0	Choice	PrisonInmate	5	5	L
173.12	0	Fixation	Japanese	5	20	R
176.12	4.62	Recipient	Japanese	5	20	R
180.73	0	Payoff	Japanese	5	20	R
186.83	0	Choice	Japanese	5	20	R
189.88	0	Fixation	Irish	6	14	R
192.88	4.62	Recipient	Irish	6	14	R
197.50	0	Payoff	Irish	6	14	R
203.49	0	Choice	Irish	6	14	R
206.50	0	Fixation	PrisonInmate	5	20	R
209.50	4.62	Recipient	PrisonInmate	5	20	R
214.12	0	Payoff	PrisonInmate	5	20	R
220.42	0	Choice	PrisonInmate	5	20	R
223.43	0	Fixation	Lawyer	6	14	R
226.44	4.62	Recipient	Lawyer	6	14	R
231.05	0	Payoff	Lawyer	6	14	R
237.49	0	Choice	Lawyer	6	14	R
240.50	0	Fixation	Farmer	5	5	R
248.51	4.62	Recipient	Farmer	5	5	R
253.12	0	Payoff	Farmer	5	5	R
259.17	0	Choice	Farmer	5	5	R
262.18	0	Fixation	Drugaddiction	9	15	R
266.19	4.62	Recipient	Drugaddiction	9	15	R
270.81	0	Payoff	Drugaddiction	9	15	R
277.35	0	Choice	Drugaddiction	9	15	R
280.36	0	Fixation	Drugaddiction	14	6	R
283.36	4.62	Recipient	Drugaddiction	14	6	R
287.98	0	Payoff	Drugaddiction	14	6	R
294.01	0	Choice	Drugaddiction	14	6	R
297.02	0	Fixation	Jewish	6	14	R
300.02	4.62	Recipient	Jewish	6	14	R
